,Description,Length
OG3394,hypothetical protein,171
OG3395,hypothetical protein,225
OG3396,Lactococcin A secretion protein LcnD,456
OG3397,Lactococcin-G-processing and transport ATP-binding protein LagD,713
OG3398,hypothetical protein,79
OG3399,hypothetical protein,72
OG3400,DNA-binding protein HU,103
OG3401,hypothetical protein,80
OG3402,hypothetical protein,133
OG3403,hypothetical protein,119
OG3404,hypothetical protein,214
OG3405,hypothetical protein,91
OG3406,hypothetical protein,138
OG3407,hypothetical protein,152
OG3408,hypothetical protein,103
OG3409,hypothetical protein,113
OG3410,hypothetical protein,175
OG3411,hypothetical protein,326
OG3412,hypothetical protein,468
OG3413,hypothetical protein,171
OG3414,hypothetical protein,65
OG3415,hypothetical protein,124
OG3416,hypothetical protein,47
OG3417,hypothetical protein,199
OG3418,hypothetical protein,84
OG3419,Gnt-II system L-idonate transporter,61
OG3420,hypothetical protein,55
OG3421,hypothetical protein,655
OG3422,hypothetical protein,286
OG3423,hypothetical protein,273
OG3424,Manganese ABC transporter substrate-binding lipoprotein,110
OG3425,hypothetical protein,302
OG3426,Acetylornithine deacetylase,179
OG3427,FMN-dependent NADH-azoreductase,115
OG3428,hypothetical protein,86
OG3429,"Beta-1,6-galactofuranosyltransferase WbbI",345
OG3430,hypothetical protein,330
OG3431,Glycogen synthase,379
OG3432,hypothetical protein,149
OG3433,Adenosine monophosphate-protein transferase NmFic,200
OG3434,putative HTH-type transcriptional regulator,145
OG3435,hypothetical protein,165
OG3436,hypothetical protein,103
OG3437,hypothetical protein,39
OG3438,hypothetical protein,67
OG3439,putative protein,280
OG3440,3-isopropylmalate dehydratase small subunit,43
OG3441,hypothetical protein,67
OG3442,hypothetical protein,76
OG3443,hypothetical protein,204
OG3444,hypothetical protein,169
OG3445,hypothetical protein,155
OG3446,hypothetical protein,61
OG3447,hypothetical protein,61
OG3448,Serine-pyruvate aminotransferase,80
OG3449,Serine-pyruvate aminotransferase,107
OG3450,Phenolic acid decarboxylase PadC,88
OG3451,Phenolic acid decarboxylase PadC,89
OG3452,Homoserine O-acetyltransferase,73
OG3453,Protein translocase subunit SecA,75
OG3454,hypothetical protein,175
OG3455,hypothetical protein,36
OG3456,hypothetical protein,169
OG3457,hypothetical protein,144
OG3458,hypothetical protein,196
OG3459,hypothetical protein,43
OG3460,hypothetical protein,118
OG3461,hypothetical protein,103
OG3462,hypothetical protein,61
OG3463,hypothetical protein,54
OG3464,hypothetical protein,485
OG3465,hypothetical protein,208
OG3466,Putative glycosyltransferase CsbB,194
OG3467,hypothetical protein,74
OG3468,Methylated-DNA--protein-cysteine methyltransferase,58
OG3469,N-hydroxyarylamine O-acetyltransferase,97
OG3470,hypothetical protein,152
OG3471,Xylulose kinase,129
OG3472,hypothetical protein,99
OG3473,hypothetical protein,306
OG3474,Transposon Tn10 TetD protein,97
OG3475,Arginine deiminase,153
OG3476,hypothetical protein,125
OG3477,hypothetical protein,165
OG3478,hypothetical protein,64
OG3479,Putative glycosyltransferase CsbB,107
OG3480,hypothetical protein,78
OG3481,FMN-dependent NADH-azoreductase 2,108
OG3482,hypothetical protein,250
OG3483,Putative NAD(P)H nitroreductase YodC,63
OG3484,Dipeptidase A,81
OG3485,Dipeptidase,42
OG3486,hypothetical protein,132
OG3487,hypothetical protein,197
OG3488,hypothetical protein,35
OG3489,hypothetical protein,77
OG3490,hypothetical protein,103
OG3491,hypothetical protein,222
OG3492,hypothetical protein,76
OG3493,hypothetical protein,390
OG3494,hypothetical protein,171
OG3495,hypothetical protein,124
OG3496,hypothetical protein,182
OG3497,hypothetical protein,68
OG3498,hypothetical protein,324
OG3499,Tyrosine recombinase XerC,372
OG3500,ABC transporter ATP-binding protein NatA,118
OG3501,hypothetical protein,35
OG3502,hypothetical protein,92
OG3503,hypothetical protein,107
OG3504,Tyrosine recombinase XerC,422
OG3505,hypothetical protein,82
OG3506,hypothetical protein,284
OG3507,hypothetical protein,490
OG3508,hypothetical protein,84
OG3509,hypothetical protein,146
OG3510,hypothetical protein,270
OG3511,hypothetical protein,1194
OG3512,Peptidoglycan-N-acetylglucosamine deacetylase,83
OG3513,Peptidoglycan-N-acetylmuramic acid deacetylase PdaC,90
OG3514,L-threonine dehydratase biosynthetic IlvA,196
OG3515,L-threonine dehydratase biosynthetic IlvA,227
OG3516,3-isopropylmalate dehydratase small subunit,80
OG3517,hypothetical protein,814
OG3518,2-methylcitrate synthase,118
OG3519,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,202
OG3520,hypothetical protein,66
OG3521,hypothetical protein,277
OG3522,putative pyridine nucleotide-disulfide oxidoreductase RclA,83
OG3523,hypothetical protein,120
OG3524,hypothetical protein,201
OG3525,hypothetical protein,43
OG3526,hypothetical protein,71
OG3527,hypothetical protein,164
OG3528,hypothetical protein,436
OG3529,hypothetical protein,58
OG3530,hypothetical protein,59
OG3531,hypothetical protein,110
OG3532,hypothetical protein,46
OG3533,hypothetical protein,200
OG3534,hypothetical protein,166
OG3535,hypothetical protein,238
OG3536,hypothetical protein,99
OG3537,hypothetical protein,408
OG3538,hypothetical protein,93
OG3539,hypothetical protein,113
OG3540,hypothetical protein,452
OG3541,hypothetical protein,496
OG3542,hypothetical protein,63
OG3543,Tyrosine recombinase XerC,349
OG3544,hypothetical protein,98
OG3545,hypothetical protein,692
OG3546,hypothetical protein,159
OG3547,IS3 family transposase IS981,123
OG3548,hypothetical protein,122
OG3549,hypothetical protein,303
OG3550,hypothetical protein,265
OG3551,hypothetical protein,1358
OG3552,Inner membrane transporter YjeM,126
OG3553,hypothetical protein,248
OG3554,hypothetical protein,230
OG3555,3-dehydroquinate synthase AND 2-epi-valiolone synthase,154
OG3556,hypothetical protein,123
OG3557,6-phospho-beta-glucosidase GmuD,228
OG3558,hypothetical protein,116
OG3559,Protein translocase subunit SecA,193
OG3560,hypothetical protein,198
OG3561,Glycosyltransferase Gtf1,184
OG3562,hypothetical protein,207
OG3563,hypothetical protein,103
OG3564,hypothetical protein,118
OG3565,hypothetical protein,99
OG3566,hypothetical protein,250
OG3567,N-acetyl-gamma-glutamyl-phosphate reductase,181
OG3568,N-acetyl-gamma-glutamyl-phosphate reductase,159
OG3569,hypothetical protein,55
OG3570,hypothetical protein,202
OG3571,hypothetical protein,198
OG3572,Alcohol dehydrogenase AND Alcohol dehydrogenase 1,130
OG3573,hypothetical protein,67
OG3574,hypothetical protein,250
OG3575,hypothetical protein,58
OG3576,Protein translocase subunit SecA,383
OG3577,Protein translocase subunit SecA,279
OG3578,hypothetical protein,422
OG3579,hypothetical protein,116
OG3580,RNA polymerase-associated protein RapA,1142
OG3581,hypothetical protein,1162
OG3582,hypothetical protein,441
OG3583,hypothetical protein,195
OG3584,hypothetical protein,198
OG3585,hypothetical protein,65
OG3586,hypothetical protein,349
OG3587,hypothetical protein,346
OG3588,hypothetical protein,122
OG3589,hypothetical protein,84
OG3590,hypothetical protein,265
OG3591,hypothetical protein,250
OG3592,hypothetical protein,142
OG3593,hypothetical protein,174
OG3594,hypothetical protein,192
OG3595,hypothetical protein,97
OG3596,hypothetical protein,78
OG3597,hypothetical protein,174
OG3598,hypothetical protein,92
OG3599,hypothetical protein,484
OG3600,hypothetical protein,264
OG3601,hypothetical protein,150
OG3602,UvrABC system protein B,448
OG3603,hypothetical protein,591
OG3604,hypothetical protein,122
OG3605,hypothetical protein,114
OG3606,hypothetical protein,217
OG3607,hypothetical protein,329
OG3608,hypothetical protein,128
OG3609,hypothetical protein,449
OG3610,hypothetical protein,63
OG3611,hypothetical protein,53
OG3612,UvrABC system protein A,755
OG3613,hypothetical protein,80
OG3614,IS3 family transposase ISWci2,145
OG3615,General stress protein 18,167
OG3616,hypothetical protein,386
OG3617,Vitamin B12 import ATP-binding protein BtuD AND putative ABC transporter ATP-binding protein YheS,299
OG3618,hypothetical protein,108
OG3619,hypothetical protein,170
OG3620,hypothetical protein,361
OG3621,hypothetical protein,195
OG3622,hypothetical protein,87
OG3623,hypothetical protein,433
OG3624,hypothetical protein,83
OG3625,Tyrosine recombinase XerC,421
OG3626,hypothetical protein,259
OG3627,hypothetical protein,276
OG3628,4-alpha-glucanotransferase,177
OG3629,hypothetical protein,453
OG3630,hypothetical protein,1006
OG3631,Glycosyltransferase Gtf1,415
OG3632,hypothetical protein,278
OG3633,hypothetical protein,261
OG3634,hypothetical protein,117
OG3635,hypothetical protein,690
OG3636,hypothetical protein,67
OG3637,hypothetical protein,167
OG3638,C4-dicarboxylic acid transporter DauA,115
OG3639,hypothetical protein,413
OG3640,hypothetical protein,198
OG3641,hypothetical protein,397
OG3642,hypothetical protein,285
OG3643,hypothetical protein,93
OG3644,hypothetical protein,105
OG3645,hypothetical protein,123
OG3646,hypothetical protein,105
OG3647,hypothetical protein,202
OG3648,hypothetical protein,119
OG3649,hypothetical protein,753
OG3650,hypothetical protein,249
OG3651,IS3 family transposase IS981,136
OG3652,hypothetical protein,49
OG3653,hypothetical protein,528
OG3654,hypothetical protein,380
OG3655,hypothetical protein,133
OG3656,hypothetical protein,68
OG3657,hypothetical protein,57
OG3658,hypothetical protein,154
OG3659,hypothetical protein,52
OG3660,hypothetical protein,60
OG3661,hypothetical protein,44
OG3662,hypothetical protein,50
OG3663,hypothetical protein,55
OG3664,hypothetical protein,106
OG3665,Arginine/ornithine antiporter ArcD1,70
OG3666,Carbamate kinase 1,198
OG3667,Carbamate kinase 1,134
OG3668,hypothetical protein,57
OG3669,hypothetical protein,75
OG3670,hypothetical protein,132
OG3671,Fructose import ATP-binding protein FruK AND Autoinducer 2 import ATP-binding protein LsrA AND Vitamin B12 import ATP-binding protein BtuD,101
OG3672,Ribokinase,173
OG3673,Ribokinase,131
OG3674,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,157
OG3675,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,173
OG3676,Maltose phosphorylase,86
OG3677,hypothetical protein,68
OG3678,hypothetical protein,61
OG3679,Malolactic enzyme,39
OG3680,Uronate isomerase,86
OG3681,Uronate isomerase,48
OG3682,hypothetical protein,98
OG3683,hypothetical protein,30
OG3684,hypothetical protein,930
OG3685,hypothetical protein,56
OG3686,Glutamate decarboxylase,102
OG3687,hypothetical protein,57
OG3688,hypothetical protein,192
OG3689,hypothetical protein,102
OG3690,hypothetical protein,96
OG3691,hypothetical protein,38
OG3692,hypothetical protein,81
OG3693,Neutral endopeptidase,526
OG3694,hypothetical protein,106
OG3695,hypothetical protein,60
OG3696,hypothetical protein,54
OG3697,hypothetical protein,421
OG3698,Beta-xylosidase,278
OG3699,Glycosyltransferase Gtf1,381
OG3700,hypothetical protein,339
OG3701,hypothetical protein,354
OG3702,hypothetical protein,83
OG3703,hypothetical protein,122
OG3704,hypothetical protein,200
OG3705,PTS system beta-glucoside-specific EIIBCA component,269
OG3706,Thiamine precursor transporter HmpT,98
OG3707,Thiamine precursor transporter HmpT,55
OG3708,hypothetical protein,145
OG3709,hypothetical protein,668
OG3710,hypothetical protein,57
OG3711,hypothetical protein,720
OG3712,Type-1 restriction enzyme R protein,1023
OG3713,hypothetical protein,197
OG3714,hypothetical protein,80
OG3715,hypothetical protein,84
OG3716,hypothetical protein,157
OG3717,hypothetical protein,58
OG3718,hypothetical protein,70
OG3719,hypothetical protein,34
OG3720,Protein translocase subunit SecA,789
OG3721,hypothetical protein,94
OG3722,Calcium-transporting ATPase 1,98
OG3723,putative transport protein HsrA,114
OG3724,hypothetical protein,99
OG3725,hypothetical protein,113
OG3726,hypothetical protein,410
OG3727,Lichenan permease IIC component,95
OG3728,Pyrimidine-nucleoside phosphorylase,150
OG3729,hypothetical protein,54
OG3730,hypothetical protein,158
OG3731,Glycogen phosphorylase,308
OG3732,hypothetical protein,228
OG3733,hypothetical protein,66
OG3734,hypothetical protein,169
OG3735,hypothetical protein,67
OG3736,Putative NAD(P)H nitroreductase YodC,203
OG3737,hypothetical protein,192
OG3738,hypothetical protein,410
OG3739,HTH-type transcriptional activator HxlR,100
OG3740,Nicotinamide riboside transporter PnuC,129
OG3741,hypothetical protein,77
OG3742,hypothetical protein,270
OG3743,hypothetical protein,36
OG3744,hypothetical protein,87
OG3745,hypothetical protein,114
OG3746,Tyrosine recombinase XerC,197
OG3747,hypothetical protein,184
OG3748,hypothetical protein,72
OG3749,hypothetical protein,161
OG3750,Imidazole glycerol phosphate synthase subunit HisH,109
OG3751,hypothetical protein,109
OG3752,hypothetical protein,56
OG3753,hypothetical protein,71
OG3754,hypothetical protein,75
OG3755,hypothetical protein,124
OG3756,Lactose permease,81
OG3757,hypothetical protein,62
OG3758,Ascorbate-specific PTS system EIIC component,210
OG3759,hypothetical protein,232
OG3760,hypothetical protein,255
OG3761,hypothetical protein,110
OG3762,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,153
OG3763,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,113
OG3764,Arginine-binding extracellular protein ArtP,154
OG3765,hypothetical protein,72
OG3766,hypothetical protein,122
OG3767,Teichoic acid glycerol-phosphate transferase,118
OG3768,Monoacylglycerol lipase,166
OG3769,hypothetical protein,95
OG3770,Shikimate dehydrogenase (NADP(+)),176
OG3771,Shikimate dehydrogenase (NADP(+)),97
OG3772,hypothetical protein,137
OG3773,hypothetical protein,113
OG3774,hypothetical protein,80
OG3775,3-dehydroquinate synthase,167
OG3776,hypothetical protein,63
OG3777,hypothetical protein,112
OG3778,hypothetical protein,70
OG3779,Aryl-phospho-beta-D-glucosidase BglH,143
OG3780,hypothetical protein,186
OG3781,hypothetical protein,94
OG3782,hypothetical protein,152
OG3783,hypothetical protein,118
OG3784,hypothetical protein,419
OG3785,hypothetical protein,115
OG3786,hypothetical protein,84
OG3787,hypothetical protein,72
OG3788,Tyrosine recombinase XerD,372
OG3789,hypothetical protein,107
OG3790,hypothetical protein,132
OG3791,hypothetical protein,339
OG3792,IS30 family transposase IS1239,315
OG3793,hypothetical protein,91
OG3794,hypothetical protein,120
OG3795,hypothetical protein,91
OG3796,hypothetical protein,171
OG3797,Curved DNA-binding protein,192
OG3798,hypothetical protein,242
OG3799,Vitamin B12 import ATP-binding protein BtuD,285
OG3800,hypothetical protein,122
OG3801,Glycerol-3-phosphate cytidylyltransferase,76
OG3802,hypothetical protein,58
OG3803,hypothetical protein,108
OG3804,Ribosome-associated ATPase,150
OG3805,hypothetical protein,76
OG3806,hypothetical protein,230
OG3807,hypothetical protein,179
OG3808,hypothetical protein,66
OG3809,hypothetical protein,59
OG3810,HTH-type transcriptional regulator AdhR,79
OG3811,hypothetical protein,1673
OG3812,hypothetical protein,72
OG3813,hypothetical protein,193
OG3814,hypothetical protein,207
OG3815,hypothetical protein,172
OG3816,hypothetical protein,89
OG3817,hypothetical protein,150
OG3818,hypothetical protein,99
OG3819,Tyrosine recombinase XerD,380
OG3820,hypothetical protein,64
OG3821,hypothetical protein,430
OG3822,hypothetical protein,118
OG3823,hypothetical protein,475
OG3824,hypothetical protein,64
OG3825,hypothetical protein,72
OG3826,hypothetical protein,75
OG3827,hypothetical protein,275
OG3828,hypothetical protein,73
OG3829,hypothetical protein,165
OG3830,hypothetical protein,132
OG3831,hypothetical protein,63
OG3832,hypothetical protein,32
OG3833,hypothetical protein,96
OG3834,Putative prophage phiRv2 integrase,378
OG3835,hypothetical protein,68
OG3836,hypothetical protein,744
OG3837,ATP-dependent zinc metalloprotease FtsH,346
OG3838,hypothetical protein,82
OG3839,hypothetical protein,48
OG3840,hypothetical protein,708
OG3841,hypothetical protein,869
OG3842,hypothetical protein,131
OG3843,hypothetical protein,88
OG3844,hypothetical protein,39
OG3845,hypothetical protein,81
OG3846,hypothetical protein,104
OG3847,hypothetical protein,69
OG3848,hypothetical protein,110
OG3849,hypothetical protein,42
OG3850,hypothetical protein,62
OG3851,hypothetical protein,214
OG3852,hypothetical protein,168
OG3853,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,113
OG3854,hypothetical protein,124
OG3855,hypothetical protein,188
OG3856,hypothetical protein,32
OG3857,hypothetical protein,189
OG3858,hypothetical protein,215
OG3859,hypothetical protein,82
OG3860,hypothetical protein,61
OG3861,hypothetical protein,136
OG3862,hypothetical protein,88
OG3863,hypothetical protein,173
OG3864,hypothetical protein,65
OG3865,hypothetical protein,74
OG3866,hypothetical protein,72
OG3867,hypothetical protein,83
OG3868,hypothetical protein,96
OG3869,hypothetical protein,155
OG3870,hypothetical protein,40
OG3871,hypothetical protein,63
OG3872,hypothetical protein,101
OG3873,hypothetical protein,420
OG3874,hypothetical protein,515
OG3875,hypothetical protein,995
OG3876,Teichoic acid poly(glycerol phosphate) polymerase,184
OG3877,hypothetical protein,94
OG3878,hypothetical protein,75
OG3879,hypothetical protein,46
OG3880,Transcriptional regulator LytR AND Biofilm regulatory protein A,227
OG3881,Biofilm regulatory protein A,184
OG3882,hypothetical protein,329
OG3883,hypothetical protein,118
OG3884,hypothetical protein,176
OG3885,hypothetical protein,83
OG3886,hypothetical protein,117
OG3887,23S rRNA (guanine(745)-N(1))-methyltransferase,133
OG3888,hypothetical protein,416
OG3889,hypothetical protein,362
OG3890,hypothetical protein,109
OG3891,hypothetical protein,203
OG3892,hypothetical protein,45
OG3893,putative cation-transporting ATPase E,201
OG3894,hypothetical protein,718
OG3895,hypothetical protein,151
OG3896,Glycerol kinase,41
OG3897,hypothetical protein,124
OG3898,hypothetical protein,600
OG3899,hypothetical protein,204
OG3900,Internalin-J,210
OG3901,hypothetical protein,392
OG3902,hypothetical protein,390
OG3903,hypothetical protein,505
OG3904,hypothetical protein,1139
OG3905,hypothetical protein,75
OG3906,putative ATP-dependent Clp protease ATP-binding subunit,704
OG3907,hypothetical protein,504
OG3908,hypothetical protein,184
OG3909,hypothetical protein,60
OG3910,hypothetical protein,352
OG3911,hypothetical protein,72
OG3912,hypothetical protein,187
OG3913,hypothetical protein,68
OG3914,hypothetical protein,180
OG3915,hypothetical protein,85
OG3916,hypothetical protein,92
OG3917,hypothetical protein,64
OG3918,hypothetical protein,229
OG3919,hypothetical protein,90
OG3920,hypothetical protein,51
OG3921,hypothetical protein,236
OG3922,hypothetical protein,84
OG3923,hypothetical protein,785
OG3924,hypothetical protein,275
OG3925,hypothetical protein,59
OG3926,Antitoxin epsilon,87
OG3927,hypothetical protein,36
OG3928,"dTDP-4-dehydrorhamnose 3,5-epimerase",193
OG3929,hypothetical protein,56
OG3930,DNA topoisomerase 3,715
OG3931,hypothetical protein,164
OG3932,hypothetical protein,87
OG3933,hypothetical protein,125
OG3934,hypothetical protein,268
OG3935,hypothetical protein,74
OG3936,Restriction enzyme BgcI subunit alpha,682
OG3937,Restriction enzyme BgcI subunit beta,279
OG3938,hypothetical protein,310
OG3939,hypothetical protein,169
OG3940,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",356
OG3941,hypothetical protein,349
OG3942,hypothetical protein,200
OG3943,hypothetical protein,244
OG3944,hypothetical protein,371
OG3945,hypothetical protein,181
OG3946,hypothetical protein,47
OG3947,hypothetical protein,165
OG3948,hypothetical protein,234
OG3949,hypothetical protein,619
OG3950,hypothetical protein,192
OG3951,hypothetical protein,134
OG3952,hypothetical protein,305
OG3953,hypothetical protein,108
OG3954,hypothetical protein,202
OG3955,hypothetical protein,59
OG3956,hypothetical protein,390
OG3957,hypothetical protein,848
OG3958,hypothetical protein,118
OG3959,hypothetical protein,72
OG3960,hypothetical protein,92
OG3961,ATP-dependent Clp protease ATP-binding subunit ClpA,594
OG3962,hypothetical protein,82
OG3963,hypothetical protein,97
OG3964,hypothetical protein,35
OG3965,hypothetical protein,548
OG3966,hypothetical protein,92
OG3967,hypothetical protein,102
OG3968,hypothetical protein,143
OG3969,Multidrug resistance protein Stp,441
OG3970,hypothetical protein,228
OG3971,hypothetical protein,147
OG3972,Acyl carrier protein,83
OG3973,hypothetical protein,123
OG3974,hypothetical protein,148
OG3975,hypothetical protein,54
OG3976,"dTDP-4-dehydrorhamnose 3,5-epimerase",194
OG3977,hypothetical protein,137
OG3978,hypothetical protein,421
OG3979,Teichuronic acid biosynthesis protein TuaB,474
OG3980,hypothetical protein,311
OG3981,D-inositol-3-phosphate glycosyltransferase,358
OG3982,hypothetical protein,295
OG3983,hypothetical protein,351
OG3984,hypothetical protein,98
OG3985,hypothetical protein,699
OG3986,hypothetical protein,1013
OG3987,hypothetical protein,146
OG3988,hypothetical protein,91
OG3989,hypothetical protein,75
OG3990,hypothetical protein,196
OG3991,hypothetical protein,420
OG3992,Single-stranded DNA-binding protein,81
OG3993,Thymidylate kinase,199
OG3994,Orotidine 5'-phosphate decarboxylase,317
OG3995,hypothetical protein,283
OG3996,hypothetical protein,1063
OG3997,hypothetical protein,131
OG3998,hypothetical protein,211
OG3999,hypothetical protein,63
OG4000,hypothetical protein,106
OG4001,hypothetical protein,49
OG4002,hypothetical protein,29
OG4003,hypothetical protein,115
OG4004,hypothetical protein,29
OG4005,hypothetical protein,61
OG4006,hypothetical protein,134
OG4007,hypothetical protein,85
OG4008,hypothetical protein,153
OG4009,hypothetical protein,508
OG4010,hypothetical protein,548
OG4011,hypothetical protein,113
OG4012,hypothetical protein,97
OG4013,hypothetical protein,101
OG4014,hypothetical protein,74
OG4015,hypothetical protein,62
OG4016,hypothetical protein,124
OG4017,Enolase,231
OG4018,Vitamin B12 import ATP-binding protein BtuD,632
OG4019,hypothetical protein,40
OG4020,hypothetical protein,471
OG4021,hypothetical protein,310
OG4022,hypothetical protein,346
OG4023,hypothetical protein,104
OG4024,hypothetical protein,81
OG4025,putative protein YbdM,107
OG4026,hypothetical protein,73
OG4027,hypothetical protein,229
OG4028,hypothetical protein,139
OG4029,Vitamin B12 import ATP-binding protein BtuD,124
OG4030,hypothetical protein,61
OG4031,hypothetical protein,381
OG4032,hypothetical protein,78
OG4033,Peptide transporter CstA,650
OG4034,hypothetical protein,127
OG4035,putative cadmium-transporting ATPase,705
OG4036,Cadmium resistance transcriptional regulatory protein CadC,119
OG4037,hypothetical protein,36
OG4038,hypothetical protein,66
OG4039,Lactate utilization protein B,145
OG4040,hypothetical protein,103
OG4041,hypothetical protein,68
OG4042,hypothetical protein,145
OG4043,hypothetical protein,232
OG4044,hypothetical protein,70
OG4045,hypothetical protein,116
OG4046,Histidine biosynthesis bifunctional protein HisB,107
OG4047,hypothetical protein,61
OG4048,hypothetical protein,125
OG4049,hypothetical protein,83
OG4050,hypothetical protein,449
OG4051,hypothetical protein,203
OG4052,hypothetical protein,274
OG4053,hypothetical protein,398
OG4054,hypothetical protein,388
OG4055,hypothetical protein,67
OG4056,Zinc-type alcohol dehydrogenase-like protein,95
OG4057,hypothetical protein,316
OG4058,hypothetical protein,39
OG4059,hypothetical protein,64
OG4060,hypothetical protein,32
OG4061,hypothetical protein,210
OG4062,Diacetyl reductase [(S)-acetoin forming],44
OG4063,hypothetical protein,141
OG4064,1-deoxy-D-xylulose-5-phosphate synthase,319
OG4065,1-deoxy-D-xylulose-5-phosphate synthase,264
OG4066,Acetylornithine/succinyldiaminopimelate aminotransferase,660
OG4067,hypothetical protein,174
OG4068,Inner membrane ABC transporter permease protein YcjO,151
OG4069,L-threonine 3-dehydrogenase,320
OG4070,hypothetical protein,129
OG4071,hypothetical protein,328
OG4072,hypothetical protein,378
OG4073,hypothetical protein,181
OG4074,"1,4-alpha-glucan branching enzyme GlgB",408
OG4075,hypothetical protein,249
OG4076,putative cation-transporting ATPase E,212
OG4077,hypothetical protein,77
OG4078,hypothetical protein,53
OG4079,Putative undecaprenyl-diphosphatase YbjG,124
OG4080,hypothetical protein,44
OG4081,hypothetical protein,79
OG4082,hypothetical protein,29
OG4083,hypothetical protein,105
OG4084,hypothetical protein,71
OG4085,Xylan alpha-(1->2)-glucuronosidase,188
OG4086,hypothetical protein,182
OG4087,hypothetical protein,204
OG4088,hypothetical protein,287
OG4089,hypothetical protein,400
OG4090,hypothetical protein,69
OG4091,hypothetical protein,206
OG4092,hypothetical protein,135
OG4093,hypothetical protein,30
OG4094,hypothetical protein,59
OG4095,hypothetical protein,1452
OG4096,hypothetical protein,36
OG4097,hypothetical protein,105
OG4098,hypothetical protein,66
OG4099,hypothetical protein,110
OG4100,Hydroxyethylthiazole kinase,250
OG4101,hypothetical protein,680
OG4102,hypothetical protein,112
OG4103,hypothetical protein,201
OG4104,hypothetical protein,114
OG4105,hypothetical protein,115
OG4106,hypothetical protein,603
OG4107,hypothetical protein,503
OG4108,hypothetical protein,394
OG4109,hypothetical protein,194
OG4110,hypothetical protein,36
OG4111,hypothetical protein,1005
OG4112,Lysine--tRNA ligase,282
OG4113,hypothetical protein,59
OG4114,Putative O-antigen transporter,471
OG4115,hypothetical protein,140
OG4116,hypothetical protein,364
OG4117,hypothetical protein,281
OG4118,hypothetical protein,282
OG4119,D-inositol-3-phosphate glycosyltransferase,380
OG4120,hypothetical protein,105
OG4121,hypothetical protein,164
OG4122,hypothetical protein,56
OG4123,Dipeptidase A,255
OG4124,Dipeptidase A,194
OG4125,hypothetical protein,49
OG4126,hypothetical protein,94
OG4127,hypothetical protein,101
OG4128,hypothetical protein,355
OG4129,hypothetical protein,69
OG4130,DNA topoisomerase 3,725
OG4131,hypothetical protein,278
OG4132,hypothetical protein,131
OG4133,hypothetical protein,530
OG4134,hypothetical protein,152
OG4135,hypothetical protein,122
OG4136,hypothetical protein,205
OG4137,hypothetical protein,385
OG4138,hypothetical protein,472
OG4139,hypothetical protein,672
OG4140,hypothetical protein,217
OG4141,hypothetical protein,242
OG4142,hypothetical protein,540
OG4143,Protein GrpE,155
OG4144,Chaperone protein DnaK,506
OG4145,hypothetical protein,234
OG4146,hypothetical protein,1453
OG4147,hypothetical protein,136
OG4148,ComE operon protein 3,113
OG4149,hypothetical protein,37
OG4150,hypothetical protein,91
OG4151,hypothetical protein,168
OG4152,hypothetical protein,174
OG4153,hypothetical protein,75
OG4154,hypothetical protein,271
OG4155,putative amino acid permease YvbW,196
OG4156,hypothetical protein,296
OG4157,hypothetical protein,77
OG4158,PTS system mannitol-specific EIICB component,167
OG4159,hypothetical protein,389
OG4160,hypothetical protein,81
OG4161,hypothetical protein,141
OG4162,hypothetical protein,56
OG4163,hypothetical protein,520
OG4164,hypothetical protein,118
OG4165,hypothetical protein,121
OG4166,hypothetical protein,33
OG4167,hypothetical protein,208
OG4168,hypothetical protein,41
OG4169,hypothetical protein,248
OG4170,hypothetical protein,174
OG4171,hypothetical protein,258
OG4172,Gamma-glutamyl phosphate reductase,172
OG4173,hypothetical protein,79
OG4174,hypothetical protein,30
OG4175,putative protein YbdM,123
OG4176,hypothetical protein,57
OG4177,Ribosome hibernation promotion factor,45
OG4178,hypothetical protein,52
OG4179,hypothetical protein,335
OG4180,hypothetical protein,58
OG4181,hypothetical protein,192
OG4182,hypothetical protein,54
OG4183,hypothetical protein,203
OG4184,hypothetical protein,77
OG4185,hypothetical protein,39
OG4186,hypothetical protein,64
OG4187,hypothetical protein,145
OG4188,hypothetical protein,263
OG4189,hypothetical protein,44
OG4190,hypothetical protein,117
OG4191,Calcium-transporting ATPase,155
OG4192,hypothetical protein,53
OG4193,Trehalose 6-phosphate phosphorylase,173
OG4194,hypothetical protein,107
OG4195,hypothetical protein,36
OG4196,hypothetical protein,114
OG4197,hypothetical protein,145
OG4198,hypothetical protein,124
OG4199,hypothetical protein,100
OG4200,3-isopropylmalate dehydratase large subunit,127
OG4201,hypothetical protein,145
OG4202,hypothetical protein,83
OG4203,hypothetical protein,115
OG4204,Aryl-phospho-beta-D-glucosidase BglC,103
OG4205,Divalent metal cation transporter MntH,140
OG4206,hypothetical protein,345
OG4207,hypothetical protein,121
OG4208,hypothetical protein,244
OG4209,hypothetical protein,244
OG4210,hypothetical protein,72
OG4211,hypothetical protein,64
OG4212,hypothetical protein,188
OG4213,hypothetical protein,110
